,TC,date,lbl,datedelta
151,TNST101TC101,2016-09-02,f,0
152,TNST101TC101,2016-09-06,f,4
153,TNST101TC101,2016-09-08,f,2
154,TNST101TC101,2016-09-11,f,3
155,TNST101TC101,2016-10-07,f,26
156,TNST101TC101,2016-10-13,f,6
157,TNST101TC101,2016-10-15,f,2
158,TNST101TC101,2016-10-29,f,14
159,TNST101TC101,2016-11-14,f,16
160,TNST101TC101,2016-11-20,f,6
161,TNST101TC101,2016-11-26,f,6
162,TNST101TC101,2016-12-04,f,8
163,TNST101TC101,2016-12-07,f,3
164,TNST101TC101,2016-12-07,f,0
165,TNST101TC101,2016-12-21,f,14
166,TNST101TC101,2016-12-23,f,2
167,TNST101TC101,2017-01-11,f,19
168,TNST101TC101,2017-01-13,f,2
169,TNST101TC101,2017-02-16,f,34
170,TNST101TC101,2017-03-07,f,19
171,TNST101TC101,2017-04-14,f,38
172,TNST101TC101,2017-05-17,f,33
173,TNST101TC101,2017-06-06,f,2
174,TNST101TC101,2017-06-27,f,21
175,TNST101TC101,2017-07-02,f,5
176,TNST101TC101,2017-07-06,f,4
177,TNST101TC101,2017-08-02,f,27
178,TNST101TC101,2017-08-13,f,11
179,TNST101TC101,2017-08-15,f,2
180,TNST101TC101,2017-09-06,f,22
181,TNST101TC101,2017-09-07,f,1
182,TNST101TC101,2017-09-23,f,16
183,TNST101TC101,2017-10-31,f,38
184,TNST101TC101,2017-11-08,f,8
185,TNST101TC101,2017-11-08,f,0
186,TNST101TC101,2017-11-16,f,8
187,TNST101TC101,2017-11-20,f,4
188,TNST101TC101,2017-11-21,f,1
189,TNST101TC101,2017-12-01,f,1
190,TNST101TC101,2017-12-23,f,22
191,TNST101TC101,2017-12-29,f,6
192,TNST101TC101,2018-01-08,f,1
193,TNST101TC101,2018-01-26,f,18
194,TNST101TC101,2018-03-25,f,58
195,TNST101TC101,2018-03-27,f,2
196,TNST101TC101,2018-04-13,f,17
197,TNST101TC101,2018-04-14,f,1
198,TNST101TC101,2018-04-20,f,6
199,TNST101TC101,2018-04-20,f,0
200,TNST101TC101,2018-04-29,f,9
201,TNST101TC101,2018-05-05,f,6
202,TNST101TC101,2018-06-07,f,33
203,TNST101TC101,2018-06-14,f,7
204,TNST101TC101,2018-06-15,f,1
205,TNST101TC101,2018-06-21,f,6
206,TNST101TC101,2018-06-23,f,2
207,TNST101TC101,2018-06-25,f,2
208,TNST101TC101,2018-06-30,f,5
209,TNST101TC101,2018-07-12,f,12
210,TNST101TC101,2018-07-31,f,19
211,TNST101TC101,2018-09-02,f,33
212,TNST101TC101,2018-10-15,f,43
213,TNST101TC101,2018-10-21,f,6
214,TNST101TC101,2018-10-22,f,1
215,TNST101TC101,2018-10-26,f,4
216,TNST101TC101,2018-11-10,f,15
217,TNST101TC101,2018-11-23,f,13
218,TNST101TC101,2018-11-24,f,1
219,TNST101TC101,2019-04-15,f,142
220,TNST101TC101,2019-04-18,f,3
221,TNST101TC101,2019-04-19,f,1
222,TNST101TC101,2019-04-20,f,1
223,TNST101TC101,2019-06-08,f,49
224,TNST101TC101,2019-06-19,f,11
225,TNST101TC101,2019-06-27,f,8
226,TNST101TC101,2019-06-28,f,1
227,TNST101TC101,2019-07-09,f,11
228,TNST101TC101,2019-07-14,f,5
229,TNST101TC101,2019-08-04,f,21
230,TNST101TC101,2019-08-06,f,2
231,TNST101TC101,2019-08-06,f,0
232,TNST101TC101,2019-08-21,f,15
233,TNST101TC101,2019-08-25,f,4
234,TNST101TC101,2019-09-06,f,12
235,TNST101TC101,2019-09-09,f,3
236,TNST101TC101,2019-10-05,f,26
237,TNST101TC101,2019-10-08,f,3
238,TNST101TC101,2019-10-14,f,6
239,TNST101TC101,2019-10-28,f,14
240,TNST101TC101,2019-11-08,f,11
241,TNST101TC101,2019-11-14,f,6
242,TNST101TC101,2019-11-14,f,0
243,TNST101TC101,2019-11-24,f,1
244,TNST101TC101,2019-12-07,f,13
245,TNST101TC1012,2019-12-06,f,2882
246,TNST101TC102,2012-06-07,f,144
247,TNST101TC102,2012-06-07,f,0
248,TNST101TC102,2013-03-14,f,28
249,TNST101TC102,2013-09-01,f,171
250,TNST101TC102,2014-02-27,f,179
251,TNST101TC102,2014-04-09,f,41
252,TNST101TC102,2015-04-21,f,377
253,TNST101TC102,2015-04-21,f,0
254,TNST101TC102,2015-08-07,f,108
255,TNST101TC102,2016-02-05,f,182
256,TNST101TC102,2016-11-10,f,279
257,TNST101TC102,2019-01-17,f,798
258,TNST101TC103,2012-04-12,f,88
259,TNST101TC103,2012-04-20,f,8
260,TNST101TC103,2012-11-10,f,204
261,TNST101TC103,2012-11-22,f,12
262,TNST101TC103,2013-03-22,f,12
263,TNST101TC103,2013-04-30,f,39
264,TNST101TC103,2013-05-16,f,16
265,TNST101TC103,2013-05-28,f,12
266,TNST101TC103,2013-06-21,f,24
267,TNST101TC103,2013-10-17,f,118
268,TNST101TC103,2013-11-05,f,19
269,TNST101TC103,2014-08-24,f,292
270,TNST101TC103,2014-11-04,f,72
271,TNST101TC103,2015-02-15,f,103
272,TNST101TC103,2015-03-24,f,37
273,TNST101TC103,2015-07-21,f,119
274,TNST101TC103,2015-07-29,f,8
275,TNST101TC103,2015-07-29,f,0
276,TNST101TC103,2016-04-18,f,264
277,TNST101TC103,2016-05-09,f,21
278,TNST101TC103,2016-05-25,f,16
279,TNST101TC103,2016-08-06,f,73
280,TNST101TC103,2016-10-09,f,64
281,TNST101TC103,2017-02-05,f,119
282,TNST101TC103,2017-02-08,f,3
283,TNST101TC103,2017-04-15,f,66
284,TNST101TC103,2017-05-28,f,43
285,TNST101TC103,2017-05-28,f,0
286,TNST101TC103,2017-09-12,f,107
287,TNST101TC103,2017-10-04,f,22
288,TNST101TC103,2017-10-17,f,13
289,TNST101TC103,2017-11-04,f,18
290,TNST101TC103,2017-11-17,f,13
291,TNST101TC103,2018-09-23,f,31
292,TNST101TC103,2018-10-22,f,29
293,TNST101TC103,2019-04-10,f,17
294,TNST101TC103,2019-06-29,f,8
295,TNST101TC103,2019-08-23,f,55
296,TNST101TC1033,2019-08-09,f,2763
297,TNST101TC1036,2019-01-07,f,2549
298,TNST101TC104,2012-03-28,f,27
299,TNST101TC104,2012-09-26,f,182
300,TNST101TC104,2012-11-07,f,42
301,TNST101TC104,2013-09-22,f,319
302,TNST101TC104,2013-11-02,f,41
303,TNST101TC104,2013-11-03,f,1
304,TNST101TC104,2013-12-24,f,51
305,TNST101TC104,2013-12-26,f,2
306,TNST101TC104,2013-12-31,f,5
307,TNST101TC104,2014-01-24,f,24
308,TNST101TC104,2015-02-10,f,382
309,TNST101TC104,2015-04-14,f,63
310,TNST101TC104,2015-11-22,f,222
311,TNST101TC104,2015-12-05,f,13
312,TNST101TC104,2015-12-18,f,13
313,TNST101TC104,2017-11-03,f,476
314,TNST101TC104,2017-11-08,f,5
315,TNST101TC104,2018-10-14,f,34
316,TNST101TC104,2019-01-03,f,81
317,TNST101TC104,2019-03-21,f,77
318,TNST101TC104,2019-04-15,f,25
319,TNST101TC104,2019-10-04,f,172
320,TNST101TC105,2012-10-18,f,277
321,TNST101TC105,2013-01-14,f,88
322,TNST101TC105,2013-02-06,f,23
323,TNST101TC105,2013-09-06,f,212
324,TNST101TC105,2013-09-12,f,6
325,TNST101TC105,2013-10-30,f,48
326,TNST101TC105,2014-02-25,f,118
327,TNST101TC105,2014-10-31,f,248
328,TNST101TC105,2015-02-05,f,97
329,TNST101TC105,2015-02-24,f,19
330,TNST101TC105,2015-03-25,f,29
331,TNST101TC105,2015-04-21,f,27
332,TNST101TC105,2015-06-05,f,45
333,TNST101TC105,2015-10-30,f,147
334,TNST101TC105,2015-10-31,f,1
335,TNST101TC105,2015-10-31,f,0
336,TNST101TC105,2016-09-27,f,332
337,TNST101TC105,2016-10-19,f,22
338,TNST101TC105,2018-02-04,f,473
339,TNST101TC105,2018-07-29,f,175
340,TNST101TC105,2018-11-21,f,115
341,TNST101TC105,2019-04-02,f,132
342,TNST101TC105,2019-05-06,f,34
343,TNST101TC105,2019-05-11,f,5
344,TNST101TC105,2019-07-07,f,57
345,TNST101TC105,2019-07-19,f,12
346,TNST101TC105,2019-09-10,f,53
347,TNST101TC105,2019-09-21,f,11
348,TNST101TC105,2019-09-26,f,5
349,TNST101TC105,2019-10-10,f,14
350,TNST101TC106,2014-04-08,f,814
351,TNST101TC106,2014-06-29,f,82
352,TNST101TC106,2014-06-29,f,0
353,TNST101TC106,2014-08-19,f,51
354,TNST101TC106,2014-09-09,f,21
355,TNST101TC106,2014-09-21,f,12
356,TNST101TC106,2014-12-07,f,77
357,TNST101TC106,2014-12-18,f,11
358,TNST101TC106,2017-04-06,f,84
359,TNST101TC106,2019-08-21,f,867
360,TNST101TC1061,2019-01-28,f,257
361,TNST101TC1061,2019-01-29,f,1
362,TNST101TC1062,2019-01-28,f,257
363,TNST101TC107,2012-11-14,f,304
364,TNST101TC107,2012-11-14,f,0
365,TNST101TC108,2013-01-24,f,375
366,TNST101TC108,2013-01-24,f,0
367,TNST101TC108,2013-12-08,f,318
368,TNST101TC108,2019-06-06,f,2006
369,TNST101TC1094,2019-05-15,f,2677
370,TNST101TC1108,2019-05-29,f,2691
371,TNST101TC111,2012-09-09,f,238
372,TNST101TC111,2013-02-12,f,156
373,TNST101TC111,2013-06-16,f,124
374,TNST101TC111,2013-07-23,f,37
375,TNST101TC111,2015-06-06,f,683
376,TNST101TC111,2016-01-08,f,216
377,TNST101TC111,2017-03-10,f,427
378,TNST101TC111,2017-06-06,f,88
379,TNST101TC111,2017-10-06,f,122
380,TNST101TC111,2018-05-06,f,212
381,TNST101TC111,2018-06-06,f,31
382,TNST101TC111,2019-06-05,f,364
383,TNST101TC111,2019-06-13,f,8
384,TNST101TC111,2019-12-07,f,177
385,TNST101TC1123,2019-06-15,f,2708
386,TNST101TC113,2012-03-18,f,32
387,TNST101TC113,2012-05-07,f,5
388,TNST101TC113,2012-05-18,f,11
389,TNST101TC113,2012-05-24,f,6
390,TNST101TC113,2012-05-26,f,2
391,TNST101TC113,2012-06-20,f,25
392,TNST101TC113,2012-08-09,f,5
393,TNST101TC113,2012-11-15,f,98
394,TNST101TC113,2012-12-17,f,32
395,TNST101TC113,2012-12-19,f,2
396,TNST101TC113,2012-12-27,f,8
397,TNST101TC113,2013-01-16,f,2
398,TNST101TC113,2013-01-23,f,7
399,TNST101TC113,2013-01-28,f,5
400,TNST101TC113,2013-02-02,f,5
401,TNST101TC113,2013-04-05,f,62
402,TNST101TC113,2013-05-14,f,39
403,TNST101TC113,2013-05-17,f,3
404,TNST101TC113,2013-09-12,f,118
405,TNST101TC113,2013-09-12,f,0
406,TNST101TC113,2013-09-30,f,18
407,TNST101TC113,2013-12-05,f,66
408,TNST101TC113,2013-12-05,f,0
409,TNST101TC113,2013-12-16,f,11
410,TNST101TC113,2013-12-28,f,12
411,TNST101TC113,2014-01-01,f,4
412,TNST101TC113,2014-04-12,f,101
413,TNST101TC113,2014-06-04,f,53
414,TNST101TC113,2014-06-21,f,17
415,TNST101TC113,2014-07-20,f,29
416,TNST101TC113,2014-08-12,f,23
417,TNST101TC113,2014-09-17,f,36
418,TNST101TC113,2015-02-20,f,156
419,TNST101TC113,2015-02-21,f,1
420,TNST101TC113,2015-02-24,f,3
421,TNST101TC113,2015-03-28,f,32
422,TNST101TC113,2015-05-18,f,51
423,TNST101TC113,2015-12-10,f,206
424,TNST101TC113,2015-12-18,f,8
425,TNST101TC113,2016-02-04,f,48
426,TNST101TC113,2016-04-09,f,65
427,TNST101TC113,2016-05-09,f,3
428,TNST101TC113,2016-09-27,f,141
429,TNST101TC113,2017-01-10,f,105
430,TNST101TC113,2017-01-10,f,0
431,TNST101TC113,2017-01-14,f,4
432,TNST101TC113,2017-02-08,f,25
433,TNST101TC113,2017-06-23,f,135
434,TNST101TC113,2017-06-23,f,0
435,TNST101TC113,2017-07-29,f,36
436,TNST101TC113,2017-08-31,f,33
437,TNST101TC113,2017-09-24,f,24
438,TNST101TC113,2017-10-18,f,24
439,TNST101TC113,2017-11-15,f,28
440,TNST101TC113,2018-07-22,f,249
441,TNST101TC113,2018-07-22,f,0
442,TNST101TC113,2018-07-23,f,1
443,TNST101TC113,2018-07-23,f,0
444,TNST101TC113,2018-09-11,f,5
445,TNST101TC113,2019-02-09,f,151
446,TNST101TC113,2019-03-12,f,31
447,TNST101TC113,2019-03-12,f,0
448,TNST101TC113,2019-04-12,f,31
449,TNST101TC113,2019-06-26,f,75
450,TNST101TC113,2019-10-01,f,97
451,TNST101TC113,2019-10-01,f,0
452,TNST101TC113,2019-11-01,f,31
453,TNST101TC113,2019-12-01,f,3
454,TNST101TC113,2019-12-16,f,15
455,TNST101TC113,2019-12-30,f,14
456,TNST101TC114,2013-01-03,f,291
457,TNST101TC114,2014-01-08,f,238
458,TNST101TC114,2014-08-24,f,228
459,TNST101TC114,2015-01-21,f,15
460,TNST101TC114,2016-01-11,f,355
461,TNST101TC114,2016-02-07,f,27
462,TNST101TC114,2016-03-07,f,29
463,TNST101TC114,2016-10-29,f,236
464,TNST101TC114,2018-12-23,f,785
465,TNST101TC114,2019-01-25,f,33
466,TNST101TC114,2019-01-26,f,1
467,TNST101TC114,2019-12-05,f,313
468,TNST101TC115,2012-09-13,f,242
469,TNST101TC115,2013-10-20,f,402
470,TNST101TC115,2014-06-29,f,252
471,TNST101TC115,2014-09-21,f,84
472,TNST101TC115,2014-10-22,f,31
473,TNST101TC115,2016-10-13,f,722
474,TNST101TC115,2019-09-15,f,1067
475,TNST101TC116,2013-03-26,f,436
476,TNST101TC116,2016-12-28,f,1373
477,TNST101TC118,2014-08-07,f,935
478,TNST101TC118,2016-05-29,f,661
479,TNST101TC119,2015-11-25,f,141
480,TNST101TC119,2018-01-05,f,772
481,TNST101TC119,2018-04-29,f,114
482,TNST101TC119,2018-04-30,f,1
483,TNST101TC119,2019-10-14,f,532
484,TNST101TC120,2012-05-05,f,111
485,TNST101TC120,2014-11-24,f,933
486,TNST101TC120,2019-01-26,f,1524
487,TNST101TC120,2019-04-29,f,93
488,TNST101TC121,2012-11-22,f,312
489,TNST101TC121,2018-06-24,f,204
490,TNST101TC123,2012-04-25,f,58
491,TNST101TC123,2013-02-10,f,291
492,TNST101TC123,2013-12-15,f,214
493,TNST101TC123,2014-09-16,f,275
494,TNST101TC123,2015-03-08,f,173
495,TNST101TC123,2015-07-15,f,129
496,TNST101TC123,2015-07-28,f,13
497,TNST101TC123,2015-10-07,f,71
498,TNST101TC123,2015-12-25,f,79
499,TNST101TC123,2016-05-04,f,131
500,TNST101TC123,2016-05-25,f,21
501,TNST101TC123,2016-10-12,f,14
502,TNST101TC123,2016-11-04,f,23
503,TNST101TC123,2016-12-23,f,49
504,TNST101TC123,2017-02-05,f,44
505,TNST101TC123,2017-02-24,f,19
506,TNST101TC123,2017-03-23,f,27
507,TNST101TC123,2017-05-29,f,67
508,TNST101TC123,2017-05-30,f,1
509,TNST101TC123,2017-05-31,f,1
510,TNST101TC123,2017-08-09,f,7
511,TNST101TC123,2017-09-05,f,27
512,TNST101TC123,2017-12-08,f,94
513,TNST101TC123,2018-03-08,f,9
514,TNST101TC123,2018-06-05,f,89
515,TNST101TC123,2018-09-07,f,94
516,TNST101TC123,2018-10-07,f,3
517,TNST101TC123,2019-12-09,f,428
518,TNST101TC123,2019-12-15,f,6
519,TNST101TC123,2019-12-24,f,9
520,TNST101TC125,2012-02-14,f,3
521,TNST101TC125,2012-03-27,f,42
522,TNST101TC125,2012-05-26,f,6
523,TNST101TC125,2012-10-20,f,147
524,TNST101TC125,2013-01-24,f,96
525,TNST101TC125,2013-01-25,f,1
526,TNST101TC125,2013-05-09,f,104
527,TNST101TC125,2013-05-23,f,14
528,TNST101TC125,2013-05-25,f,2
529,TNST101TC125,2013-09-02,f,1
530,TNST101TC125,2013-09-12,f,1
531,TNST101TC125,2014-02-03,f,144
532,TNST101TC125,2016-03-22,f,778
533,TNST101TC125,2016-03-28,f,6
534,TNST101TC125,2016-10-05,f,191
535,TNST101TC125,2017-02-08,f,126
536,TNST101TC125,2017-05-01,f,82
537,TNST101TC125,2018-01-01,f,245
538,TNST101TC125,2018-05-30,f,149
539,TNST101TC125,2018-06-15,f,16
