TRAINSET,Fdate,ObjectPartCode
TNST114,02-Jan-12,101
TNST114,02-Jan-13,192
TNST114,07-Jan-12,104
TNST114,08-Jan-12,115
TNST114,08-Jan-12,104
TNST114,08-Jan-13,101
TNST114,11-Jan-12,201
TNST114,01-Feb-12,113
TNST114,02-Feb-12,101
TNST114,02-Feb-13,189
TNST114,02-Feb-13,340
TNST114,02-Feb-13,149
TNST114,04-Feb-13,270
TNST114,09-Feb-12,113
TNST114,03-Mar-12,353
TNST114,04-Mar-13,114
TNST114,06-Mar-13,103
TNST114,07-Mar-13,189
TNST114,09-Mar-13,176
TNST114,11-Mar-13,470
TNST114,07-Apr-12,348
TNST114,11-Apr-12,346
TNST114,07-May-13,346
TNST114,08-May-12,123
TNST114,08-May-12,125
TNST114,02-Jun-12,232
TNST114,03-Jun-12,226
TNST114,10-Jun-12,104
TNST114,03-Jul-13,151
TNST114,03-Jul-13,255
TNST114,10-Aug-12,303
TNST114,03-Sep-12,424
TNST114,05-Sep-13,188
TNST114,07-Sep-12,346
TNST114,07-Sep-13,138
TNST114,08-Sep-13,149
TNST114,09-Sep-12,148
TNST114,05-Oct-12,113
TNST114,06-Oct-13,105
TNST114,02-Nov-13,103
TNST114,06-Nov-13,104
TNST114,10-Dec-13,149
TNST114,12-Dec-12,207
TNST114,13-Mar-13,212
TNST114,13-Apr-12,149
TNST114,13-Apr-13,116
TNST114,13-Jun-13,104
TNST114,13-Aug-12,353
TNST114,13-Aug-12,158
TNST114,13-Sep-13,113
TNST114,14-Feb-13,115
TNST114,14-Mar-13,103
TNST114,14-May-13,157
TNST114,14-Aug-12,353
TNST114,14-Aug-13,238
TNST114,14-Sep-13,129
TNST114,15-May-13,104
TNST114,15-Jun-13,362
TNST114,15-Jun-13,189
TNST114,15-Jul-13,103
TNST114,15-Aug-12,113
TNST114,15-Sep-13,129
TNST114,16-Feb-12,117
TNST114,16-Feb-13,150
TNST114,16-Mar-13,222
TNST114,16-May-12,431
TNST114,16-Oct-13,181
TNST114,16-Oct-13,123
TNST114,17-Mar-12,406
TNST114,17-Oct-12,333
TNST114,18-Apr-12,126
TNST114,18-Apr-13,121
TNST114,18-Jul-13,123
TNST114,18-Aug-12,111
TNST114,18-Dec-12,203
TNST114,19-Jan-12,416
TNST114,19-Feb-12,226
TNST114,19-Mar-13,103
TNST114,19-May-13,189
TNST114,20-Jan-12,101
TNST114,20-Mar-12,103
TNST114,20-May-12,111
TNST114,20-Jul-12,101
TNST114,20-Aug-12,348
TNST114,20-Aug-12,346
TNST114,20-Sep-12,113
TNST114,20-Sep-13,113
TNST114,21-Oct-13,285
TNST114,22-Feb-13,123
TNST114,22-Apr-12,115
TNST114,22-Jul-12,270
TNST114,22-Nov-12,113
TNST114,22-Dec-12,129
TNST114,23-Jun-12,123
TNST114,23-Dec-12,164
TNST114,24-Jun-13,382
TNST114,25-Jan-12,419
TNST114,25-Aug-12,111
TNST114,26-Mar-12,256
TNST114,26-Jun-13,102
TNST114,26-Sep-13,103
TNST114,27-Jan-13,293
TNST114,27-Feb-13,101
TNST114,27-Jun-13,189
TNST114,27-Jul-13,181
TNST114,28-Feb-12,284
TNST114,28-Apr-13,257
TNST114,28-May-12,353
TNST114,28-May-13,226
TNST114,28-Sep-12,157
TNST114,28-Oct-13,268
TNST114,29-Jan-13,113
TNST114,29-Mar-12,104
TNST114,29-Jun-13,211
TNST114,29-Jul-13,104
TNST114,29-Aug-13,103
TNST114,30-Jan-13,103
TNST114,30-May-13,113
TNST114,30-Jul-12,132
TNST114,31-Jan-12,211
TNST114,31-Jan-12,321
TNST117,01-Jan-12,123
TNST117,01-Jan-12,321
TNST117,01-Jan-14,113
TNST117,01-Jan-16,163
TNST117,02-Jan-13,164
TNST117,02-Jan-14,134
TNST117,03-Jan-13,153
TNST117,03-Jan-13,164
TNST117,03-Jan-15,174
TNST117,03-Jan-17,113
TNST117,03-Jan-17,275
TNST117,06-Jan-14,101
TNST117,07-Jan-16,148
TNST117,08-Jan-14,283
TNST117,08-Jan-14,116
TNST117,08-Jan-15,163
TNST117,10-Jan-14,119
TNST117,11-Jan-15,113
TNST117,12-Jan-18,213
TNST117,01-Feb-13,103
TNST117,01-Feb-19,101
TNST117,01-Feb-19,101
TNST117,04-Feb-18,497
TNST117,05-Feb-14,134
TNST117,05-Feb-15,105
TNST117,05-Feb-15,104
TNST117,05-Feb-16,323
TNST117,06-Feb-16,101
TNST117,07-Feb-14,113
TNST117,07-Feb-14,203
TNST117,08-Feb-18,101
TNST117,09-Feb-16,113
TNST117,09-Feb-17,157
TNST117,09-Feb-18,362
TNST117,10-Feb-12,276
TNST117,10-Feb-12,136
TNST117,11-Feb-14,123
TNST117,12-Feb-13,114
TNST117,12-Feb-18,1029
TNST117,02-Mar-13,111
TNST117,03-Mar-13,189
TNST117,04-Mar-14,103
TNST117,04-Mar-18,284
TNST117,05-Mar-14,179
TNST117,05-Mar-14,153
TNST117,05-Mar-17,114
TNST117,05-Mar-17,203
TNST117,06-Mar-14,101
TNST117,06-Mar-18,149
TNST117,07-Mar-13,326
TNST117,08-Mar-12,102
TNST117,08-Mar-14,144
TNST117,08-Mar-16,153
TNST117,09-Mar-18,362
TNST117,10-Mar-16,157
TNST117,10-Mar-18,270
TNST117,11-Mar-15,344
TNST117,12-Mar-17,166
TNST117,01-Apr-14,207
TNST117,01-Apr-18,516
TNST117,03-Apr-12,174
TNST117,04-Apr-13,123
TNST117,04-Apr-15,148
TNST117,04-Apr-15,542
TNST117,04-Apr-18,143
TNST117,06-Apr-12,104
TNST117,06-Apr-14,101
TNST117,06-Apr-15,231
TNST117,06-Apr-17,105
TNST117,06-Apr-17,927
TNST117,07-Apr-12,113
TNST117,08-Apr-12,239
TNST117,08-Apr-15,105
TNST117,09-Apr-13,103
TNST117,09-Apr-14,113
TNST117,09-Apr-14,276
TNST117,09-Apr-17,157
TNST117,09-Apr-18,105
TNST117,09-Apr-18,362
TNST117,10-Apr-13,189
TNST117,12-Apr-13,362
TNST117,02-May-14,333
TNST117,03-May-14,222
TNST117,03-May-16,135
TNST117,03-May-16,296
TNST117,03-May-16,295
TNST117,04-May-16,157
TNST117,04-May-18,188
TNST117,05-May-12,181
TNST117,05-May-16,101
TNST117,05-May-18,362
TNST117,06-May-15,189
TNST117,06-May-15,115
TNST117,07-May-12,164
TNST117,07-May-15,113
TNST117,08-May-15,113
TNST117,08-May-15,101
TNST117,08-May-16,104
TNST117,08-May-16,165
TNST117,08-May-16,201
TNST117,09-May-13,103
TNST117,09-May-13,148
TNST117,09-May-15,184
TNST117,09-May-18,120
TNST117,10-May-13,104
TNST117,10-May-13,111
TNST117,10-May-14,129
TNST117,10-May-15,148
TNST117,10-May-18,159
TNST117,10-May-18,323
TNST117,10-May-18,134
TNST117,11-May-14,270
TNST117,11-May-14,225
TNST117,11-May-16,314
TNST117,01-Jun-12,132
TNST117,01-Jun-18,105
TNST117,01-Jun-18,185
TNST117,02-Jun-16,148
TNST117,03-Jun-12,123
TNST117,05-Jun-17,163
TNST117,08-Jun-13,103
TNST117,09-Jun-18,120
TNST117,10-Jun-12,129
TNST117,10-Jun-16,113
TNST117,10-Jun-18,344
TNST117,11-Jun-13,113
TNST117,11-Jun-18,313
TNST117,11-Jun-18,103
TNST117,12-Jun-13,272
TNST117,12-Jun-13,104
TNST117,12-Jun-17,157
TNST117,01-Jul-12,127
TNST117,01-Jul-14,101
TNST117,01-Jul-16,113
TNST117,02-Jul-14,103
TNST117,02-Jul-17,211
TNST117,04-Jul-17,211
TNST117,05-Jul-12,101
TNST117,05-Jul-14,149
TNST117,05-Jul-15,153
TNST117,05-Jul-15,188
TNST117,05-Jul-18,134
TNST117,05-Jul-18,149
TNST117,05-Jul-18,295
TNST117,06-Jul-14,393
TNST117,06-Jul-17,101
TNST117,07-Jul-12,123
TNST117,07-Jul-14,237
TNST117,08-Jul-16,104
TNST117,09-Jul-14,114
TNST117,09-Jul-17,103
TNST117,10-Jul-17,290
TNST117,10-Jul-17,230
TNST117,10-Jul-17,345
TNST117,11-Jul-14,128
TNST117,11-Jul-18,189
TNST117,11-Jul-18,153
TNST117,12-Jul-16,120
TNST117,01-Aug-14,185
TNST117,03-Aug-15,200
TNST117,04-Aug-14,114
TNST117,05-Aug-17,101
TNST117,05-Aug-18,276
TNST117,06-Aug-16,101
TNST117,06-Aug-16,103
TNST117,07-Aug-12,115
TNST117,07-Aug-17,120
TNST117,10-Aug-14,149
TNST117,10-Aug-15,148
TNST117,10-Aug-18,133
TNST117,11-Aug-13,185
TNST117,12-Aug-14,180
TNST117,01-Sep-18,293
TNST117,02-Sep-12,132
TNST117,02-Sep-15,165
TNST117,02-Sep-16,231
TNST117,03-Sep-18,157
TNST117,04-Sep-14,120
TNST117,04-Sep-14,148
TNST117,05-Sep-18,921
TNST117,05-Sep-18,134
TNST117,05-Sep-18,456
TNST117,06-Sep-15,488
TNST117,06-Sep-16,105
TNST117,06-Sep-18,101
TNST117,07-Sep-18,382
TNST117,08-Sep-14,114
TNST117,08-Sep-18,221
TNST117,08-Sep-18,101
TNST117,10-Sep-17,200
TNST117,11-Sep-16,113
TNST117,12-Sep-12,103
TNST117,02-Oct-18,104
TNST117,03-Oct-14,101
TNST117,05-Oct-15,188
TNST117,05-Oct-18,362
TNST117,05-Oct-18,247
TNST117,06-Oct-16,105
TNST117,08-Oct-13,270
TNST117,08-Oct-16,101
TNST117,09-Oct-14,148
TNST117,09-Oct-15,284
TNST117,10-Oct-13,188
TNST117,11-Oct-14,185
TNST117,11-Oct-14,179
TNST117,11-Oct-17,120
TNST117,11-Oct-17,376
TNST117,11-Oct-18,189
TNST117,11-Oct-18,153
TNST117,01-Nov-14,113
TNST117,02-Nov-13,101
TNST117,02-Nov-17,166
TNST117,03-Nov-14,103
TNST117,03-Nov-17,101
TNST117,04-Nov-15,103
TNST117,04-Nov-15,113
TNST117,05-Nov-16,130
TNST117,06-Nov-16,152
TNST117,06-Nov-16,113
TNST117,06-Nov-17,101
TNST117,07-Nov-17,290
TNST117,07-Nov-18,290
TNST117,08-Nov-16,101
TNST117,09-Nov-13,113
TNST117,09-Nov-16,101
TNST117,11-Nov-17,148
TNST117,12-Nov-12,129
TNST117,12-Nov-15,211
TNST117,12-Nov-16,246
TNST117,12-Nov-16,130
TNST117,01-Dec-18,101
TNST117,02-Dec-14,164
TNST117,02-Dec-18,103
TNST117,03-Dec-14,113
TNST117,04-Dec-15,101
TNST117,04-Dec-15,101
TNST117,07-Dec-12,101
TNST117,07-Dec-12,114
TNST117,07-Dec-14,230
TNST117,07-Dec-18,157
TNST117,07-Dec-18,516
TNST117,09-Dec-14,237
TNST117,09-Dec-18,449
TNST117,10-Dec-16,151
TNST117,12-Dec-13,101
TNST117,12-Dec-14,148
TNST117,12-Dec-18,113
TNST117,12-Dec-18,153
TNST117,13-Jan-14,170
TNST117,13-Jan-16,163
TNST117,13-Mar-13,101
TNST117,13-Apr-16,120
TNST117,13-May-15,108
TNST117,13-Jul-13,313
TNST117,13-Jul-15,104
TNST117,13-Jul-18,101
TNST117,13-Aug-13,103
TNST117,13-Aug-14,104
