TRAINSET,Fdate,ObjectPartCode
TNST188,02-Feb-17,588
TNST188,02-Feb-17,588
TNST188,03-Apr-17,556
TNST188,01-May-17,581
TNST188,09-May-17,565
TNST188,01-Jun-19,557
TNST188,05-Jul-19,1050
TNST188,08-Jul-17,551
TNST188,10-Jul-15,641
TNST188,08-Aug-19,553
TNST188,08-Sep-17,552
TNST188,08-Sep-17,589
TNST188,10-Oct-18,589
TNST188,07-Nov-17,556
TNST188,13-Jun-18,553
TNST188,13-Jun-18,558
TNST188,13-Aug-16,554
TNST188,13-Aug-16,847
TNST188,14-Jul-18,565
TNST188,14-Sep-15,548
TNST188,14-Oct-18,641
TNST188,15-May-18,558
TNST188,15-Nov-17,641
TNST188,16-Apr-17,899
TNST188,17-Aug-17,837
TNST188,17-Oct-18,553
TNST188,18-Oct-18,585
TNST188,19-Dec-17,626
TNST188,19-Dec-19,552
TNST188,21-Feb-18,550
TNST188,21-May-17,583
TNST188,21-Nov-18,554
TNST188,22-Aug-19,641
TNST188,22-Sep-18,581
TNST188,23-Feb-19,915
TNST188,24-Aug-18,551
TNST188,25-Feb-18,588
TNST188,25-Jul-18,554
TNST188,25-Sep-15,556
TNST188,26-Jan-17,554
TNST188,26-Oct-19,552
TNST188,27-Jan-17,553
TNST188,27-Jan-17,553
TNST188,27-Jan-17,553
TNST188,27-Mar-18,620
TNST188,27-Jul-16,553
TNST188,27-Aug-15,589
TNST188,28-Mar-19,585
TNST188,28-May-17,556
TNST188,28-Jul-18,583
TNST188,28-Oct-16,556
TNST188,30-May-18,561
TNST188,30-Jul-15,425
TNST188,30-Jul-17,607
TNST188,31-Jan-17,425
TNST188,31-Mar-17,564
TNST188,31-Dec-19,555
TNST189,11-Jan-18,553
TNST189,05-Feb-17,899
TNST189,07-Feb-18,585
TNST189,10-Apr-18,549
TNST189,10-May-17,641
TNST189,11-May-18,556
TNST189,09-Jun-17,551
TNST189,07-Jul-18,641
TNST189,09-Jul-17,641
TNST189,03-Aug-17,550
TNST189,04-Aug-18,585
TNST189,09-Aug-17,790
TNST189,03-Sep-19,554
TNST189,03-Sep-19,554
TNST189,03-Oct-19,585
TNST189,06-Oct-18,588
TNST189,12-Oct-18,790
TNST189,12-Oct-18,604
TNST189,09-Nov-16,588
TNST189,12-Nov-17,556
TNST189,01-Dec-17,585
TNST189,07-Dec-18,641
TNST189,12-Dec-17,583
TNST189,13-Feb-18,589
TNST189,13-Mar-18,588
TNST189,13-Apr-19,588
TNST189,13-Sep-18,576
TNST189,13-Dec-17,641
TNST189,14-Nov-19,844
TNST189,15-Apr-19,563
TNST189,15-Apr-19,1048
TNST189,15-May-18,588
TNST189,15-May-19,586
TNST189,15-Sep-19,555
TNST189,17-Jan-16,585
TNST189,17-Jan-17,551
TNST189,17-Jan-19,552
TNST189,17-Mar-17,556
TNST189,17-Oct-19,563
TNST189,18-Mar-16,425
TNST189,18-Jun-19,604
TNST189,18-Jun-19,555
TNST189,18-Dec-17,589
TNST189,20-Jul-18,641
TNST189,21-Mar-18,641
TNST189,22-Jan-19,547
TNST189,22-Jul-19,1050
TNST189,22-Aug-15,425
TNST189,23-Feb-16,425
TNST189,23-May-19,589
TNST189,23-Jun-19,589
TNST189,23-Nov-17,588
TNST189,24-Dec-19,554
TNST189,25-Apr-18,556
TNST189,25-Aug-15,552
TNST189,26-Oct-18,598
TNST189,27-Jun-16,588
TNST189,28-Mar-19,585
TNST189,28-Jul-17,895
TNST189,28-Jul-17,551
TNST189,28-Jul-17,585
TNST189,28-Jul-17,589
TNST189,29-Aug-16,641
TNST189,30-Jan-19,563
TNST189,31-Mar-19,837
TNST189,31-Jul-15,549
TNST189,31-Jul-18,641
TNST190,08-Jan-15,555
TNST190,09-Mar-15,577
TNST190,09-Mar-19,583
TNST190,01-May-17,895
TNST190,06-May-18,558
TNST190,01-Jun-19,557
TNST190,03-Jun-17,487
TNST190,03-Jun-19,790
TNST190,04-Jun-19,1101
TNST190,07-Jun-17,583
TNST190,08-Jun-15,576
TNST190,01-Jul-18,553
TNST190,08-Jul-15,577
TNST190,08-Aug-15,581
TNST190,08-Aug-15,551
TNST190,10-Aug-17,837
TNST190,02-Oct-19,561
TNST190,03-Oct-19,555
TNST190,04-Oct-18,552
TNST190,08-Nov-15,551
TNST190,12-Nov-16,583
TNST190,09-Dec-15,487
TNST190,13-Feb-16,554
TNST190,13-Mar-17,553
TNST190,13-Oct-18,549
TNST190,14-Mar-16,790
TNST190,14-May-19,641
TNST190,14-Aug-15,425
TNST190,14-Sep-19,589
TNST190,15-Sep-16,837
TNST190,17-Apr-17,589
TNST190,17-Apr-17,556
TNST190,18-Aug-15,549
TNST190,18-Aug-15,425
TNST190,18-Dec-16,487
TNST190,19-Aug-15,588
TNST190,19-Dec-18,641
TNST190,20-Jan-17,583
TNST190,20-Jan-17,565
TNST190,20-Mar-18,563
TNST190,20-Sep-15,554
TNST190,20-Sep-15,425
TNST190,21-Mar-19,620
TNST190,23-Jan-16,425
TNST190,23-Jan-17,564
TNST190,24-Mar-19,559
TNST190,24-Apr-19,556
TNST190,24-Sep-18,557
TNST190,25-Jun-19,556
TNST190,25-Sep-19,577
TNST190,26-Aug-15,549
TNST190,26-Dec-18,790
TNST190,27-Sep-17,585
TNST190,28-Apr-19,561
TNST190,28-Aug-19,554
TNST190,29-Jan-19,554
TNST190,29-Nov-17,641
TNST190,30-Mar-17,565
TNST190,30-Mar-17,487
TNST190,30-Nov-17,556
TNST190,30-Dec-16,837
TNST190,31-Jan-18,585
TNST190,31-Oct-18,554
TNST195,05-Jan-19,586
TNST195,07-Feb-16,583
TNST195,03-Mar-19,554
TNST195,10-Mar-19,790
TNST195,06-May-16,560
TNST195,08-May-15,555
TNST195,10-May-17,585
TNST195,03-Jun-19,790
TNST195,04-Jun-18,585
TNST195,08-Jun-15,554
TNST195,12-Jun-17,641
TNST195,03-Jul-17,641
TNST195,04-Jul-18,576
TNST195,08-Jul-19,556
TNST195,11-Jul-18,553
TNST195,07-Aug-19,556
TNST195,01-Sep-17,551
TNST195,01-Sep-17,558
TNST195,08-Sep-16,549
TNST195,02-Oct-17,588
TNST195,01-Nov-17,559
TNST195,01-Nov-17,559
TNST195,03-Nov-17,604
TNST195,09-Nov-16,553
TNST195,13-Apr-19,620
TNST195,13-Sep-15,547
TNST195,14-Feb-19,589
TNST195,14-Aug-18,487
TNST195,16-Jun-19,556
TNST195,16-Aug-17,844
TNST195,18-Jul-19,837
TNST195,19-Jul-19,1050
TNST195,20-Mar-18,560
TNST195,20-Aug-16,790
TNST195,22-Sep-16,549
TNST195,22-Nov-18,583
TNST195,23-Mar-17,641
TNST195,23-Jun-19,790
TNST195,23-Nov-17,588
TNST195,24-Mar-18,554
TNST195,25-Jun-17,586
TNST195,26-Jul-16,626
TNST195,26-Dec-16,559
TNST195,27-Jul-17,554
TNST195,27-Sep-19,895
TNST195,29-Dec-19,487
TNST195,30-Oct-18,585
TNST195,31-Aug-19,641
TNST195,31-Oct-16,585
TNST196,05-Jan-19,588
TNST196,09-Jan-19,582
TNST196,04-Feb-18,583
TNST196,10-Feb-18,641
TNST196,01-Mar-18,583
TNST196,01-Mar-19,560
TNST196,06-Mar-16,425
TNST196,10-Mar-17,554
TNST196,10-Mar-18,583
TNST196,01-Apr-18,641
TNST196,08-Apr-18,589
TNST196,10-Apr-19,559
TNST196,12-Apr-16,556
TNST196,01-Jun-18,553
TNST196,09-Jul-17,553
TNST196,06-Aug-19,641
TNST196,06-Aug-19,641
TNST196,08-Aug-17,551
TNST196,02-Sep-17,548
TNST196,08-Sep-16,547
TNST196,02-Oct-19,641
TNST196,06-Oct-16,589
TNST196,06-Nov-16,556
TNST196,06-Nov-16,554
TNST196,12-Nov-18,588
TNST196,10-Dec-19,576
TNST196,13-Feb-19,588
TNST196,13-May-17,588
TNST196,14-Jun-17,588
TNST196,14-Aug-17,589
TNST196,15-Oct-17,583
TNST196,16-Feb-19,641
TNST196,17-Aug-19,554
TNST196,18-Mar-18,583
TNST196,18-Aug-17,588
TNST196,19-Sep-15,604
TNST196,20-Jan-17,581
TNST196,20-Sep-17,554
TNST196,22-Oct-18,588
TNST196,22-Dec-19,790
TNST196,23-Apr-17,580
TNST196,24-May-18,555
TNST196,24-May-19,1050
TNST196,24-Jul-19,589
TNST196,24-Sep-16,583
TNST196,24-Oct-16,626
TNST196,24-Oct-18,556
TNST196,25-Apr-19,556
TNST196,26-May-17,588
TNST196,26-Sep-16,554
TNST196,27-Mar-17,583
TNST196,27-May-17,588
TNST196,28-Jul-16,556
TNST196,28-Oct-18,583
TNST196,28-Nov-16,548
TNST196,29-Aug-15,588
TNST196,29-Sep-19,620
TNST196,30-Jan-19,563
TNST196,30-Apr-17,554
TNST196,30-Jul-18,641
TNST196,30-Aug-16,554
TNST196,30-Aug-18,556
TNST196,30-Sep-17,553
TNST196,30-Sep-19,620
TNST196,30-Dec-16,598
TNST196,31-Jan-16,554
TNST196,31-May-17,604
TNST196,31-Aug-16,580
TNST197,01-Jan-18,554
TNST197,07-Jan-18,585
TNST197,06-Feb-19,583
TNST197,11-Feb-17,641
TNST197,01-Apr-19,641
TNST197,07-Apr-17,554
TNST197,12-Apr-16,837
TNST197,01-May-19,641
TNST197,03-Jun-19,1057
TNST197,04-Jun-17,566
TNST197,02-Jul-19,554
TNST197,03-Jul-19,552
TNST197,03-Aug-19,1074
TNST197,09-Aug-15,563
TNST197,09-Aug-15,425
TNST197,11-Aug-19,555
TNST197,08-Nov-19,1050
TNST197,09-Dec-16,588
TNST197,10-Dec-18,556
TNST197,11-Dec-17,641
TNST197,13-Jun-16,552
TNST197,13-Aug-19,641
TNST197,13-Nov-19,844
TNST197,13-Dec-18,585
TNST197,16-Jul-19,552
