TRAINSET,Fdate,ObjectPartCode
TNST173,05-Jan-17,577
TNST173,09-Jan-15,576
TNST173,10-Jan-18,585
TNST173,11-Jan-17,588
TNST173,06-Feb-18,556
TNST173,01-May-18,556
TNST173,11-May-16,554
TNST173,08-Jun-16,596
TNST173,09-Jun-17,596
TNST173,07-Jul-15,547
TNST173,12-Jul-18,556
TNST173,05-Aug-18,565
TNST173,06-Aug-17,583
TNST173,09-Aug-17,620
TNST173,12-Aug-18,626
TNST173,06-Sep-18,583
TNST173,09-Oct-15,554
TNST173,10-Nov-16,565
TNST173,13-Oct-15,588
TNST173,14-Apr-17,604
TNST173,14-Jul-18,556
TNST173,14-Nov-16,554
TNST173,15-Apr-17,583
TNST173,15-Sep-16,554
TNST173,15-Nov-19,556
TNST173,15-Nov-19,583
TNST173,15-Nov-19,588
TNST173,15-Dec-16,598
TNST173,17-Jan-17,553
TNST173,18-Feb-19,588
TNST173,18-Jul-15,558
TNST173,19-Sep-16,553
TNST173,19-Sep-18,556
TNST173,20-Sep-15,589
TNST173,20-Dec-16,790
TNST173,22-Feb-18,593
TNST173,22-Sep-16,589
TNST173,22-Sep-18,641
TNST173,22-Nov-17,577
TNST173,23-Jun-17,553
TNST173,23-Jun-17,895
TNST173,24-Jan-17,566
TNST173,24-Jan-17,553
TNST173,24-May-19,553
TNST173,24-May-19,596
TNST173,26-Feb-18,567
TNST173,26-Apr-19,563
TNST173,26-May-17,641
TNST173,26-Aug-16,554
TNST173,26-Dec-16,620
TNST173,27-Feb-18,588
TNST173,27-Sep-17,556
TNST173,27-Oct-15,565
TNST173,27-Dec-19,604
TNST173,28-Jul-18,641
TNST173,28-Oct-15,580
TNST173,29-Apr-19,588
TNST173,29-Aug-19,1050
TNST173,29-Oct-19,567
TNST173,31-Mar-19,844
TNST174,09-Jan-16,577
TNST174,11-May-15,554
TNST174,03-Jun-19,626
TNST174,10-Jun-17,581
TNST174,06-Jul-18,553
TNST174,09-Aug-16,556
TNST174,12-Aug-16,588
TNST174,07-Sep-15,547
TNST174,08-Sep-19,636
TNST174,09-Sep-15,593
TNST174,09-Sep-15,563
TNST174,05-Nov-17,556
TNST174,07-Nov-19,844
TNST174,08-Nov-17,583
TNST174,11-Dec-18,585
TNST174,11-Dec-18,641
TNST174,13-Apr-19,1097
TNST174,14-Sep-15,585
TNST174,15-Jun-17,425
TNST174,15-Jun-17,585
TNST174,15-Sep-19,1048
TNST174,15-Nov-15,565
TNST174,15-Nov-18,557
TNST174,16-Jan-18,556
TNST174,17-Feb-17,583
TNST174,17-Aug-16,563
TNST174,18-Jul-15,552
TNST174,18-Jul-18,553
TNST174,19-Jan-17,626
TNST174,19-Apr-17,577
TNST174,19-May-17,554
TNST174,19-May-18,553
TNST174,19-Dec-17,565
TNST174,21-Apr-17,554
TNST174,21-May-17,585
TNST174,21-Jul-17,596
TNST174,21-Jul-17,547
TNST174,22-Jul-17,583
TNST174,22-Jul-17,558
TNST174,22-Oct-16,588
TNST174,23-Sep-15,565
TNST174,23-Oct-18,554
TNST174,23-Oct-18,548
TNST174,24-Jan-19,588
TNST174,24-Apr-19,1074
TNST174,24-Sep-15,626
TNST174,24-Sep-16,564
TNST174,25-Feb-17,553
TNST174,25-Jun-19,549
TNST174,26-May-17,586
TNST174,26-May-18,556
TNST174,26-Jul-17,556
TNST174,27-Jul-16,552
TNST174,28-Jul-16,487
TNST174,28-Oct-19,641
TNST174,29-Jul-15,561
TNST174,29-Oct-15,588
TNST174,29-Nov-15,557
TNST174,30-Jul-15,550
TNST175,08-Jan-17,641
TNST175,08-Feb-19,588
TNST175,08-Feb-19,915
TNST175,01-Mar-17,893
TNST175,06-Mar-18,551
TNST175,01-May-16,566
TNST175,01-May-16,558
TNST175,03-May-18,556
TNST175,08-Jun-16,554
TNST175,08-Jun-17,550
TNST175,09-Jun-18,641
TNST175,11-Jun-18,626
TNST175,01-Jul-18,566
TNST175,10-Jul-17,549
TNST175,11-Jul-18,641
TNST175,03-Aug-17,556
TNST175,07-Aug-15,548
TNST175,09-Aug-18,563
TNST175,03-Sep-17,580
TNST175,06-Sep-18,558
TNST175,08-Sep-18,561
TNST175,08-Sep-18,551
TNST175,11-Sep-17,577
TNST175,04-Oct-18,845
TNST175,07-Oct-18,577
TNST175,09-Oct-16,551
TNST175,09-Oct-16,559
TNST175,05-Nov-19,598
TNST175,07-Nov-18,589
TNST175,07-Nov-19,695
TNST175,07-Nov-19,1086
TNST175,07-Nov-19,641
TNST175,08-Nov-17,577
TNST175,02-Dec-19,554
TNST175,07-Dec-17,554
TNST175,13-May-18,556
TNST175,13-Jun-19,1050
TNST175,13-Aug-18,554
TNST175,13-Aug-18,556
TNST175,13-Nov-16,566
TNST175,13-Dec-16,588
TNST175,14-Jun-19,585
TNST175,14-Jun-19,557
TNST175,15-Feb-18,556
TNST175,15-Aug-17,548
TNST175,16-Jun-19,556
TNST175,16-Jul-15,552
TNST175,16-Sep-19,565
TNST175,17-Jun-18,577
TNST175,17-Jul-15,553
TNST175,17-Dec-19,641
TNST175,19-May-17,596
TNST175,19-May-17,596
TNST175,19-Jul-17,583
TNST175,20-Feb-19,626
TNST175,20-Jul-18,554
TNST175,20-Jul-18,565
TNST175,20-Aug-16,556
TNST175,20-Sep-15,567
TNST175,20-Sep-15,577
TNST175,20-Dec-17,641
TNST175,21-Apr-18,585
TNST175,21-Aug-16,563
TNST175,21-Oct-17,593
TNST175,21-Oct-18,556
TNST175,21-Oct-18,556
TNST175,22-Apr-17,556
TNST175,22-Aug-19,556
TNST175,22-Sep-15,576
TNST175,22-Oct-16,844
TNST175,22-Oct-18,487
TNST175,22-Nov-19,626
TNST175,23-May-17,551
TNST175,23-May-17,596
TNST175,23-May-17,553
TNST175,24-Jul-15,563
TNST175,24-Aug-16,589
TNST175,24-Sep-16,553
TNST175,25-Mar-18,583
TNST175,25-Jul-15,553
TNST175,25-Sep-19,1086
TNST175,26-Jun-19,598
TNST175,27-May-18,583
TNST175,27-Aug-17,556
TNST175,27-Oct-17,567
TNST175,27-Oct-17,588
TNST175,28-May-19,588
TNST175,28-Jun-17,585
TNST175,28-Jul-15,564
TNST175,28-Jul-15,565
TNST175,28-Jul-15,554
TNST175,28-Oct-17,554
TNST175,28-Nov-18,565
TNST175,28-Nov-18,588
TNST175,30-Jun-17,588
TNST175,30-Oct-16,583
TNST176,07-Jan-17,553
TNST176,09-Jan-15,567
TNST176,09-Jan-17,560
TNST176,11-Mar-19,585
TNST176,11-Mar-19,636
TNST176,11-Mar-19,626
TNST176,02-May-19,641
TNST176,05-May-17,589
TNST176,05-May-17,915
TNST176,06-May-16,554
TNST176,07-May-18,588
TNST176,08-May-16,553
TNST176,08-May-16,563
TNST176,12-May-15,553
TNST176,06-Jun-17,588
TNST176,08-Jul-16,555
TNST176,06-Aug-17,563
TNST176,09-Aug-17,552
TNST176,09-Aug-17,554
TNST176,04-Sep-19,556
TNST176,07-Oct-19,556
TNST176,08-Oct-17,626
TNST176,11-Oct-16,589
TNST176,06-Nov-17,915
TNST176,07-Nov-19,844
TNST176,09-Nov-18,554
TNST176,03-Dec-17,556
TNST176,04-Dec-19,556
TNST176,07-Dec-18,560
TNST176,13-Jun-19,585
TNST176,13-Sep-19,1050
TNST176,14-Mar-17,583
TNST176,14-Apr-19,550
TNST176,14-Jun-18,553
TNST176,14-Jun-18,565
TNST176,16-Aug-19,588
TNST176,16-Dec-16,596
TNST176,17-Jan-17,564
TNST176,17-Apr-17,565
TNST176,17-Aug-15,596
TNST176,17-Sep-17,641
TNST176,17-Dec-16,596
TNST176,18-Dec-16,549
TNST176,19-Jan-17,552
TNST176,20-Apr-19,558
TNST176,20-Aug-18,577
TNST176,21-Feb-17,598
TNST176,21-Apr-17,564
TNST176,21-Apr-17,556
TNST176,21-Apr-17,565
TNST176,21-Dec-16,588
TNST176,22-Jun-18,641
TNST176,24-Apr-17,588
TNST176,24-Jun-17,577
TNST176,25-Sep-15,588
TNST176,25-Dec-17,557
TNST176,26-Aug-19,641
TNST176,26-Nov-18,548
TNST176,27-May-18,577
TNST176,27-Aug-16,555
TNST176,27-Nov-16,425
TNST176,27-Nov-16,588
TNST176,28-Feb-17,596
TNST176,28-Feb-17,620
TNST176,28-Dec-17,556
TNST176,29-Jun-19,553
TNST176,29-Jun-19,585
TNST176,29-Aug-19,558
TNST176,31-Jan-18,596
TNST177,12-Jan-16,626
TNST177,03-Apr-18,563
TNST177,08-Apr-15,554
TNST177,12-Apr-18,641
TNST177,01-May-17,567
TNST177,04-May-19,557
TNST177,07-May-19,549
TNST177,08-May-15,577
TNST177,10-May-16,563
TNST177,11-May-18,547
TNST177,11-May-18,641
TNST177,12-Jul-19,585
TNST177,07-Sep-15,549
TNST177,02-Nov-17,557
TNST177,08-Nov-16,550
TNST177,10-Nov-16,596
TNST177,08-Dec-16,588
TNST177,09-Dec-17,567
TNST177,13-Jan-18,765
TNST177,13-Jan-18,604
TNST177,13-Jan-18,553
TNST177,13-Jan-18,558
TNST177,13-Jan-18,588
TNST177,13-Aug-15,549
TNST177,15-Feb-17,558
TNST177,15-Sep-16,589
TNST177,15-Nov-17,641
TNST177,15-Nov-19,554
TNST177,16-Aug-18,561
TNST177,16-Dec-16,554
TNST177,17-Jan-18,556
TNST177,17-Aug-16,563
TNST177,19-Jul-18,425
TNST177,19-Aug-15,567
TNST177,19-Aug-15,599
TNST177,19-Aug-18,563
TNST177,21-Jun-18,588
TNST177,21-Jul-18,583
TNST177,21-Aug-18,586
TNST177,21-Sep-16,563
TNST177,21-Sep-16,557
TNST177,21-Oct-16,593
TNST177,23-Apr-19,915
TNST177,23-Oct-16,556
TNST177,25-Oct-17,641
TNST177,25-Oct-17,641
TNST177,26-Jun-17,583
TNST177,26-Jul-16,556
TNST177,26-Jul-16,425
TNST177,27-Aug-18,556
TNST177,27-Sep-18,567
TNST177,27-Oct-15,551
TNST177,28-Sep-16,554
TNST177,29-Sep-17,556
TNST177,29-Oct-16,576
TNST177,30-Jun-19,1080
TNST177,30-Jun-19,1053
TNST177,31-Aug-15,487
TNST178,10-Jan-17,557
TNST178,05-Mar-17,556
TNST178,06-Apr-19,1074
TNST178,02-May-19,548
TNST178,05-May-19,915
TNST178,07-May-18,577
TNST178,08-Jun-19,844
TNST178,09-Jul-19,641
TNST178,09-Jul-19,588
TNST178,09-Aug-19,554
TNST178,10-Sep-15,553
TNST178,10-Sep-18,641
TNST178,12-Sep-16,564
TNST178,12-Sep-16,589
TNST178,12-Sep-16,553
TNST178,12-Sep-16,554
TNST178,07-Oct-15,550
TNST178,10-Nov-18,577
TNST178,10-Nov-18,552
TNST178,03-Dec-18,583
TNST178,10-Dec-16,548
TNST178,10-Dec-18,577
TNST178,13-Jun-18,553
TNST178,13-Jun-18,565
TNST178,13-Jun-18,556
TNST178,13-Sep-15,556
TNST178,13-Oct-16,565
TNST178,14-Mar-19,563
TNST178,14-Jul-19,554
TNST178,15-Dec-18,790
TNST178,16-Apr-19,558
TNST178,16-Oct-17,564
TNST178,17-Sep-15,556
TNST178,18-Apr-17,589
TNST178,19-May-18,558
TNST178,19-Jul-17,577
TNST178,19-Sep-19,554
TNST178,19-Dec-16,551
TNST178,20-Dec-18,550
TNST178,21-Sep-15,554
TNST178,22-Jun-17,556
TNST178,22-Jun-17,553
TNST178,22-Aug-16,425
