TRAINSET,Fdate,ObjectPartCode
TNST101,01-Jan-14,189
TNST101,01-Jan-14,113
TNST101,01-Jan-15,213
TNST101,01-Jan-15,201
TNST101,01-Jan-18,125
TNST101,02-Jan-12,211
TNST101,02-Jan-13,340
TNST101,03-Jan-13,114
TNST101,03-Jan-16,101
TNST101,03-Jan-19,104
TNST101,03-Jan-19,213
TNST101,04-Jan-14,101
TNST101,04-Jan-16,143
TNST101,05-Jan-13,253
TNST101,05-Jan-15,127
TNST101,05-Jan-18,119
TNST101,06-Jan-13,101
TNST101,06-Jan-13,101
TNST101,06-Jan-13,153
TNST101,07-Jan-13,159
TNST101,07-Jan-15,226
TNST101,07-Jan-16,132
TNST101,07-Jan-18,129
TNST101,07-Jan-19,1036
TNST101,08-Jan-14,114
TNST101,08-Jan-16,111
TNST101,08-Jan-17,143
TNST101,08-Jan-18,101
TNST101,09-Jan-16,165
TNST101,10-Jan-16,270
TNST101,10-Jan-17,113
TNST101,10-Jan-17,113
TNST101,11-Jan-14,101
TNST101,11-Jan-14,148
TNST101,11-Jan-14,101
TNST101,11-Jan-16,114
TNST101,11-Jan-17,101
TNST101,12-Jan-12,340
TNST101,01-Feb-14,101
TNST101,01-Feb-15,189
TNST101,01-Feb-18,135
TNST101,01-Feb-18,166
TNST101,01-Feb-19,301
TNST101,02-Feb-13,113
TNST101,02-Feb-14,512
TNST101,02-Feb-15,192
TNST101,03-Feb-14,125
TNST101,04-Feb-16,113
TNST101,04-Feb-16,101
TNST101,04-Feb-17,212
TNST101,04-Feb-18,105
TNST101,04-Feb-19,157
TNST101,05-Feb-14,101
TNST101,05-Feb-15,201
TNST101,05-Feb-15,105
TNST101,05-Feb-16,102
TNST101,05-Feb-17,103
TNST101,05-Feb-17,123
TNST101,06-Feb-13,105
TNST101,07-Feb-13,101
TNST101,07-Feb-16,114
TNST101,07-Feb-19,157
TNST101,08-Feb-12,201
TNST101,08-Feb-13,253
TNST101,08-Feb-17,125
TNST101,08-Feb-17,103
TNST101,08-Feb-17,113
TNST101,09-Feb-19,113
TNST101,10-Feb-12,270
TNST101,10-Feb-13,123
TNST101,10-Feb-15,104
TNST101,11-Feb-13,211
TNST101,11-Feb-13,101
TNST101,11-Feb-14,212
TNST101,11-Feb-14,212
TNST101,12-Feb-13,211
TNST101,12-Feb-13,111
TNST101,12-Feb-13,162
TNST101,01-Mar-12,104
TNST101,01-Mar-14,159
TNST101,01-Mar-14,212
TNST101,01-Mar-14,214
TNST101,01-Mar-19,516
TNST101,03-Mar-16,101
TNST101,03-Mar-19,222
TNST101,03-Mar-19,126
TNST101,04-Mar-14,258
TNST101,04-Mar-18,310
TNST101,05-Mar-15,101
TNST101,06-Mar-17,252
TNST101,07-Mar-13,211
TNST101,07-Mar-13,101
TNST101,07-Mar-15,159
TNST101,07-Mar-15,101
TNST101,07-Mar-16,114
TNST101,07-Mar-17,101
TNST101,08-Mar-15,123
TNST101,08-Mar-16,101
TNST101,08-Mar-18,123
TNST101,09-Mar-12,132
TNST101,09-Mar-19,188
TNST101,10-Mar-17,111
TNST101,10-Mar-17,211
TNST101,10-Mar-18,357
TNST101,10-Mar-19,162
TNST101,11-Mar-18,163
TNST101,12-Mar-19,113
TNST101,12-Mar-19,131
TNST101,12-Mar-19,113
TNST101,01-Apr-13,159
TNST101,02-Apr-19,105
TNST101,03-Apr-16,101
TNST101,03-Apr-19,164
TNST101,05-Apr-13,113
TNST101,05-Apr-16,195
TNST101,05-Apr-16,157
TNST101,06-Apr-15,393
TNST101,06-Apr-17,106
TNST101,06-Apr-17,148
TNST101,07-Apr-13,101
TNST101,08-Apr-14,106
TNST101,08-Apr-14,159
TNST101,08-Apr-14,157
TNST101,08-Apr-15,226
TNST101,08-Apr-17,293
TNST101,09-Apr-13,198
TNST101,09-Apr-13,359
TNST101,09-Apr-14,102
TNST101,09-Apr-15,275
TNST101,09-Apr-16,113
TNST101,09-Apr-17,188
TNST101,10-Apr-13,253
TNST101,10-Apr-19,103
TNST101,11-Apr-13,101
TNST101,11-Apr-13,240
TNST101,11-Apr-13,101
TNST101,11-Apr-13,285
TNST101,12-Apr-12,103
TNST101,12-Apr-14,127
TNST101,12-Apr-14,113
TNST101,12-Apr-14,381
TNST101,12-Apr-17,200
TNST101,12-Apr-19,113
TNST101,01-May-17,125
TNST101,01-May-17,340
TNST101,02-May-12,277
TNST101,02-May-16,101
TNST101,03-May-15,159
TNST101,03-May-15,188
TNST101,03-May-15,153
TNST101,04-May-14,101
TNST101,04-May-15,159
TNST101,04-May-15,127
TNST101,04-May-15,204
TNST101,04-May-16,101
TNST101,04-May-16,123
TNST101,04-May-19,222
TNST101,05-May-12,120
TNST101,05-May-15,101
TNST101,05-May-15,101
TNST101,05-May-18,101
TNST101,06-May-13,101
TNST101,06-May-15,226
TNST101,06-May-18,111
TNST101,06-May-19,105
TNST101,07-May-12,113
TNST101,07-May-15,226
TNST101,07-May-15,343
TNST101,08-May-12,198
TNST101,08-May-13,148
TNST101,08-May-14,101
TNST101,08-May-14,270
TNST101,08-May-17,188
TNST101,09-May-12,158
TNST101,09-May-13,125
TNST101,09-May-13,166
TNST101,09-May-16,113
TNST101,09-May-16,103
TNST101,10-May-13,164
TNST101,11-May-13,312
TNST101,11-May-19,105
TNST101,11-May-19,359
TNST101,12-May-12,101
TNST101,02-Jun-15,127
TNST101,02-Jun-15,127
TNST101,02-Jun-15,101
TNST101,03-Jun-17,161
TNST101,04-Jun-12,132
TNST101,04-Jun-14,113
TNST101,04-Jun-16,101
TNST101,05-Jun-13,157
TNST101,05-Jun-15,105
TNST101,05-Jun-17,270
TNST101,05-Jun-18,123
TNST101,05-Jun-19,111
TNST101,06-Jun-12,305
TNST101,06-Jun-15,111
TNST101,06-Jun-17,101
TNST101,06-Jun-17,111
TNST101,06-Jun-18,111
TNST101,06-Jun-19,108
TNST101,07-Jun-12,102
TNST101,07-Jun-12,102
TNST101,07-Jun-18,101
TNST101,07-Jun-18,143
TNST101,08-Jun-14,216
TNST101,08-Jun-19,148
TNST101,08-Jun-19,101
TNST101,08-Jun-19,211
TNST101,09-Jun-12,198
TNST101,10-Jun-12,148
TNST101,10-Jun-14,221
TNST101,10-Jun-14,221
TNST101,11-Jun-14,135
TNST101,11-Jun-14,148
TNST101,11-Jun-14,101
TNST101,12-Jun-14,101
TNST101,02-Jul-17,101
TNST101,03-Jul-17,161
TNST101,04-Jul-15,101
TNST101,05-Jul-19,149
TNST101,06-Jul-16,157
TNST101,06-Jul-17,101
TNST101,07-Jul-13,101
TNST101,07-Jul-19,105
TNST101,08-Jul-17,293
TNST101,08-Jul-19,295
TNST101,08-Jul-19,125
TNST101,08-Jul-19,131
TNST101,09-Jul-19,157
TNST101,09-Jul-19,101
TNST101,11-Jul-18,134
TNST101,12-Jul-18,101
TNST101,02-Aug-12,143
TNST101,02-Aug-12,340
TNST101,02-Aug-16,101
TNST101,02-Aug-17,101
TNST101,04-Aug-19,769
TNST101,04-Aug-19,101
TNST101,04-Aug-19,353
TNST101,05-Aug-12,143
TNST101,05-Aug-13,130
TNST101,05-Aug-14,310
TNST101,05-Aug-16,188
TNST101,05-Aug-19,157
TNST101,06-Aug-14,200
TNST101,06-Aug-16,103
TNST101,06-Aug-19,101
TNST101,06-Aug-19,101
TNST101,07-Aug-14,126
TNST101,07-Aug-14,101
TNST101,07-Aug-14,148
TNST101,07-Aug-14,118
TNST101,07-Aug-15,102
TNST101,08-Aug-12,235
TNST101,08-Aug-15,203
TNST101,08-Aug-15,211
TNST101,09-Aug-12,113
TNST101,09-Aug-17,123
TNST101,09-Aug-18,147
TNST101,09-Aug-19,157
TNST101,09-Aug-19,157
TNST101,09-Aug-19,1033
TNST101,10-Aug-13,201
TNST101,11-Aug-12,132
TNST101,11-Aug-13,101
TNST101,11-Aug-16,101
TNST101,12-Aug-12,101
TNST101,12-Aug-13,101
TNST101,12-Aug-14,143
TNST101,12-Aug-14,113
TNST101,01-Sep-12,101
TNST101,01-Sep-13,102
TNST101,01-Sep-13,138
TNST101,01-Sep-19,449
TNST101,02-Sep-13,132
TNST101,02-Sep-13,125
TNST101,02-Sep-14,164
TNST101,02-Sep-16,101
TNST101,02-Sep-16,101
TNST101,02-Sep-18,101
TNST101,04-Sep-13,148
TNST101,04-Sep-13,211
TNST101,04-Sep-14,166
TNST101,04-Sep-18,148
TNST101,04-Sep-18,270
TNST101,05-Sep-13,159
TNST101,05-Sep-13,266
TNST101,05-Sep-17,123
TNST101,05-Sep-19,157
TNST101,06-Sep-12,130
TNST101,06-Sep-13,105
TNST101,06-Sep-13,401
TNST101,06-Sep-16,101
TNST101,06-Sep-17,101
TNST101,06-Sep-19,101
TNST101,06-Sep-19,284
TNST101,06-Sep-19,188
TNST101,06-Sep-19,174
TNST101,06-Sep-19,188
TNST101,07-Sep-17,101
TNST101,07-Sep-18,123
TNST101,08-Sep-16,101
TNST101,08-Sep-16,157
TNST101,09-Sep-12,101
TNST101,09-Sep-12,101
TNST101,09-Sep-12,111
TNST101,09-Sep-14,240
TNST101,09-Sep-14,106
TNST101,09-Sep-14,167
TNST101,09-Sep-19,101
TNST101,10-Sep-12,101
TNST101,10-Sep-18,357
TNST101,10-Sep-19,105
TNST101,11-Sep-12,132
TNST101,11-Sep-16,101
TNST101,11-Sep-18,113
TNST101,12-Sep-13,148
TNST101,12-Sep-13,125
TNST101,12-Sep-13,113
TNST101,12-Sep-13,105
TNST101,12-Sep-13,113
TNST101,12-Sep-13,152
TNST101,12-Sep-14,179
TNST101,12-Sep-15,162
TNST101,12-Sep-16,129
TNST101,12-Sep-17,103
TNST101,01-Oct-14,166
TNST101,01-Oct-17,290
TNST101,01-Oct-18,284
TNST101,01-Oct-18,225
TNST101,01-Oct-19,113
TNST101,01-Oct-19,113
TNST101,02-Oct-16,270
TNST101,02-Oct-17,132
TNST101,02-Oct-18,255
TNST101,02-Oct-19,148
TNST101,03-Oct-14,101
TNST101,04-Oct-17,103
TNST101,04-Oct-19,104
TNST101,05-Oct-12,101
TNST101,05-Oct-15,192
TNST101,05-Oct-16,125
TNST101,05-Oct-19,101
TNST101,06-Oct-17,111
TNST101,06-Oct-19,157
TNST101,07-Oct-15,123
TNST101,07-Oct-16,101
TNST101,07-Oct-17,225
TNST101,07-Oct-18,123
TNST101,08-Oct-19,101
TNST101,09-Oct-12,101
TNST101,09-Oct-13,182
TNST101,09-Oct-16,103
TNST101,10-Oct-19,105
TNST101,11-Oct-19,200
TNST101,12-Oct-13,101
TNST101,12-Oct-14,189
TNST101,12-Oct-16,296
TNST101,01-Nov-16,132
TNST101,01-Nov-19,113
TNST101,01-Nov-19,134
TNST101,02-Nov-13,104
TNST101,03-Nov-13,104
TNST101,03-Nov-15,166
TNST101,03-Nov-15,101
TNST101,03-Nov-17,104
TNST101,04-Nov-14,103
TNST101,04-Nov-16,123
TNST101,04-Nov-17,103
TNST101,05-Nov-12,101
TNST101,05-Nov-13,200
TNST101,05-Nov-13,103
TNST101,05-Nov-15,268
TNST101,05-Nov-15,159
TNST101,06-Nov-14,164
TNST101,06-Nov-14,211
TNST101,06-Nov-19,130
TNST101,06-Nov-19,519
TNST101,07-Nov-12,104
TNST101,07-Nov-13,130
TNST101,08-Nov-12,198
TNST101,08-Nov-16,270
TNST101,08-Nov-16,157
TNST101,08-Nov-17,104
TNST101,08-Nov-17,101
TNST101,08-Nov-17,101
TNST101,08-Nov-19,101
TNST101,09-Nov-14,101
TNST101,09-Nov-19,166
TNST101,10-Nov-12,103
TNST101,10-Nov-16,102
TNST101,10-Nov-16,264
TNST101,10-Nov-18,101
TNST101,11-Nov-16,126
TNST101,12-Nov-12,101
TNST101,01-Dec-15,518
TNST101,01-Dec-17,101
TNST101,01-Dec-19,113
TNST101,02-Dec-13,376
TNST101,02-Dec-14,189
TNST101,03-Dec-13,211
TNST101,03-Dec-14,101
TNST101,04-Dec-12,101
TNST101,04-Dec-16,101
TNST101,05-Dec-13,113
TNST101,05-Dec-13,113
TNST101,05-Dec-13,195
TNST101,05-Dec-15,104
TNST101,05-Dec-19,114
TNST101,05-Dec-19,147
TNST101,06-Dec-14,101
TNST101,06-Dec-15,127
TNST101,06-Dec-15,148
TNST101,06-Dec-18,125
TNST101,06-Dec-18,150
TNST101,06-Dec-19,1012
TNST101,07-Dec-14,159
TNST101,07-Dec-14,106
TNST101,07-Dec-14,101
TNST101,07-Dec-14,101
TNST101,07-Dec-14,101
TNST101,07-Dec-16,101
TNST101,07-Dec-16,101
TNST101,07-Dec-18,131
TNST101,07-Dec-19,111
TNST101,07-Dec-19,101
TNST101,08-Dec-12,198
TNST101,08-Dec-13,108
TNST101,08-Dec-17,314
TNST101,08-Dec-17,123
TNST101,09-Dec-12,240
TNST101,09-Dec-13,446
TNST101,09-Dec-13,266
TNST101,09-Dec-18,148
TNST101,09-Dec-19,166
TNST101,09-Dec-19,123
TNST101,10-Dec-15,113
TNST101,11-Dec-12,268
TNST101,11-Dec-13,101
TNST101,11-Dec-13,101
TNST101,11-Dec-18,125
TNST101,12-Dec-12,159
TNST101,12-Dec-12,101
TNST101,13-Jan-13,101
TNST101,13-Jan-14,189
TNST101,13-Jan-14,159
TNST101,13-Feb-13,211
TNST101,13-Feb-16,143
TNST101,13-Mar-13,148
TNST101,13-Mar-13,162
TNST101,13-Mar-13,162
TNST101,13-Mar-15,293
TNST101,13-Mar-15,127
TNST101,13-Mar-16,132
TNST101,13-Apr-15,239
TNST101,13-Apr-15,165
TNST101,13-Apr-18,270
TNST101,13-Apr-18,101
TNST101,13-May-15,192
TNST101,13-Jun-12,310
TNST101,13-Jun-13,101
TNST101,13-Jun-17,149
TNST101,13-Jun-19,111
TNST101,13-Jul-14,101
TNST101,13-Jul-16,138
TNST101,13-Aug-14,335
TNST101,13-Aug-17,101
TNST101,13-Aug-17,314
TNST101,13-Aug-18,134
TNST101,13-Sep-12,115
TNST101,13-Oct-16,115
TNST101,13-Oct-16,101
TNST101,13-Oct-18,148
TNST101,13-Dec-13,148
TNST101,13-Dec-16,188
TNST101,14-Jan-13,105
TNST101,14-Jan-17,113
TNST101,14-Jan-19,321
TNST101,14-Feb-12,125
TNST101,14-Feb-14,294
TNST101,14-Feb-19,221
TNST101,14-Mar-13,102
TNST101,14-Mar-14,295
TNST101,14-Mar-14,361
TNST101,14-Mar-14,159
TNST101,14-Mar-14,101
TNST101,14-Apr-14,101
TNST101,14-Apr-15,101
TNST101,14-Apr-15,104
TNST101,14-Apr-17,101
TNST101,14-Apr-18,101
TNST101,14-May-13,113
TNST101,14-May-13,401
TNST101,14-Jun-13,101
TNST101,14-Jun-16,101
TNST101,14-Jun-18,101
TNST101,14-Jul-18,211
TNST101,14-Jul-19,101
TNST101,14-Aug-14,101
TNST101,14-Aug-14,148
TNST101,14-Aug-18,134
TNST101,14-Sep-14,101
TNST101,14-Sep-18,157
TNST101,14-Oct-18,104
TNST101,14-Oct-18,393
TNST101,14-Oct-19,101
TNST101,14-Oct-19,119
TNST101,14-Nov-12,107
TNST101,14-Nov-12,107
TNST101,14-Nov-13,101
TNST101,14-Nov-16,101
TNST101,14-Nov-19,101
TNST101,14-Nov-19,346
TNST101,14-Nov-19,101
TNST101,14-Dec-13,101
TNST101,15-Jan-13,143
TNST101,15-Feb-12,201
TNST101,15-Feb-15,103
TNST101,15-Mar-12,148
TNST101,15-Apr-17,103
TNST101,15-Apr-18,207
TNST101,15-Apr-18,272
TNST101,15-Apr-19,104
TNST101,15-Apr-19,101
TNST101,15-May-19,220
TNST101,15-May-19,220
TNST101,15-May-19,1094
TNST101,15-Jun-16,101
TNST101,15-Jun-18,101
TNST101,15-Jun-18,125
TNST101,15-Jun-19,1123
TNST101,15-Jun-19,220
TNST101,15-Jul-13,143
TNST101,15-Jul-14,324
TNST101,15-Jul-15,123
TNST101,15-Aug-17,101
TNST101,15-Sep-19,115
TNST101,15-Oct-16,101
TNST101,15-Oct-16,211
TNST101,15-Oct-18,101
TNST101,15-Nov-12,113
TNST101,15-Nov-13,211
TNST101,15-Nov-13,101
TNST101,15-Nov-15,166
TNST101,15-Nov-16,446
TNST101,15-Nov-17,143
TNST101,15-Nov-17,129
TNST101,15-Nov-17,113
TNST101,15-Nov-19,157
TNST101,15-Nov-19,555
TNST101,15-Dec-13,123
TNST101,15-Dec-19,123
TNST101,16-Jan-12,268
TNST101,16-Jan-13,113
TNST101,16-Jan-13,211
TNST101,16-Jan-17,134
TNST101,16-Jan-19,344
TNST101,16-Jan-19,150
TNST101,16-Feb-15,346
TNST101,16-Feb-17,101
TNST101,16-Mar-13,101
TNST101,16-Mar-19,446
TNST101,16-Apr-14,167
TNST101,16-May-13,103
TNST101,16-May-17,212
TNST101,16-Jun-13,111
TNST101,16-Jun-13,101
TNST101,16-Jul-14,203
TNST101,16-Jul-17,296
TNST101,16-Aug-18,479
TNST101,16-Sep-12,185
TNST101,16-Sep-14,123
TNST101,16-Sep-16,165
TNST101,16-Oct-14,192
TNST101,16-Nov-13,101
TNST101,16-Nov-15,157
TNST101,16-Nov-17,101
TNST101,16-Dec-13,113
TNST101,16-Dec-13,153
TNST101,16-Dec-14,166
TNST101,16-Dec-19,113
TNST101,17-Jan-19,102
TNST101,17-Jan-19,344
TNST101,17-Jan-19,391
TNST101,17-Mar-16,101
TNST101,17-Mar-16,101
TNST101,17-Apr-15,101
TNST101,17-May-12,101
TNST101,17-May-13,113
TNST101,17-May-17,101
TNST101,17-May-18,131
TNST101,17-Jun-17,211
TNST101,17-Jun-19,129
TNST101,17-Aug-16,239
TNST101,17-Sep-14,101
TNST101,17-Sep-14,113
TNST101,17-Sep-16,211
TNST101,17-Oct-13,103
TNST101,17-Oct-14,366
TNST101,17-Oct-16,270
TNST101,17-Oct-17,103
TNST101,17-Oct-18,134
TNST101,17-Nov-13,158
TNST101,17-Nov-16,270
TNST101,17-Nov-17,103
TNST101,17-Dec-12,113
TNST101,17-Dec-17,362
TNST101,18-Jan-13,201
TNST101,18-Jan-14,132
TNST101,18-Jan-16,290
TNST101,18-Feb-12,239
TNST101,18-Feb-14,101
TNST101,18-Mar-12,114
TNST101,18-Mar-12,309
TNST101,18-Mar-12,113
TNST101,18-Mar-16,101
TNST101,18-Apr-13,153
TNST101,18-Apr-16,103
TNST101,18-Apr-19,101
TNST101,18-May-12,113
TNST101,18-May-14,132
TNST101,18-May-15,113
TNST101,18-Jun-19,290
TNST101,18-Jul-15,333
TNST101,18-Jul-16,101
TNST101,18-Jul-18,148
TNST101,18-Aug-14,101
TNST101,18-Aug-14,101
TNST101,18-Sep-16,162
TNST101,18-Sep-19,225
TNST101,18-Oct-12,101
TNST101,18-Oct-12,105
TNST101,18-Oct-17,113
TNST101,18-Nov-14,148
TNST101,18-Nov-15,461
TNST101,18-Dec-12,152
TNST101,18-Dec-14,106
TNST101,18-Dec-14,268
TNST101,18-Dec-14,164
TNST101,18-Dec-15,104
TNST101,18-Dec-15,113
TNST101,19-Jan-19,678
TNST101,19-Jan-19,326
TNST101,19-Feb-16,149
TNST101,19-Feb-16,149
TNST101,19-Feb-19,203
TNST101,19-Apr-12,101
TNST101,19-Apr-15,201
TNST101,19-Apr-18,180
TNST101,19-Apr-19,101
TNST101,19-May-13,101
TNST101,19-May-14,211
TNST101,19-Jun-12,159
TNST101,19-Jun-14,274
TNST101,19-Jun-19,101
TNST101,19-Jul-15,127
TNST101,19-Jul-19,157
TNST101,19-Jul-19,270
TNST101,19-Jul-19,105
TNST101,19-Aug-14,164
TNST101,19-Aug-14,106
TNST101,19-Aug-17,126
TNST101,19-Sep-12,310
TNST101,19-Sep-12,101
TNST101,19-Oct-16,105
TNST101,19-Oct-19,555
TNST101,19-Oct-19,148
TNST101,19-Oct-19,134
TNST101,19-Oct-19,342
TNST101,19-Nov-13,324
TNST101,19-Dec-12,113
TNST101,19-Dec-13,134
TNST101,19-Dec-13,101
TNST101,19-Dec-15,101
TNST101,19-Dec-19,270
TNST101,20-Jan-13,134
TNST101,20-Jan-15,127
TNST101,20-Feb-15,113
TNST101,20-Feb-16,134
TNST101,20-Feb-18,166
TNST101,20-Feb-19,153
TNST101,20-Feb-19,203
TNST101,20-Apr-12,101
TNST101,20-Apr-12,103
TNST101,20-Apr-16,132
TNST101,20-Apr-18,101
TNST101,20-Apr-18,101
TNST101,20-Apr-19,101
TNST101,20-May-14,164
TNST101,20-Jun-12,113
TNST101,20-Jun-13,184
TNST101,20-Jul-14,113
TNST101,20-Jul-19,148
TNST101,20-Jul-19,284
TNST101,20-Jul-19,284
TNST101,20-Jul-19,203
TNST101,20-Aug-13,157
TNST101,20-Aug-16,101
TNST101,20-Sep-12,101
TNST101,20-Sep-12,195
TNST101,20-Sep-16,296
TNST101,20-Oct-12,125
TNST101,20-Oct-13,115
TNST101,20-Oct-13,192
TNST101,20-Nov-13,101
TNST101,20-Nov-16,101
TNST101,20-Nov-17,101
TNST101,20-Dec-15,290
TNST101,20-Dec-19,270
TNST101,21-Jan-13,222
TNST101,21-Jan-14,126
TNST101,21-Jan-14,101
TNST101,21-Jan-15,114
TNST101,21-Feb-14,189
TNST101,21-Feb-15,113
TNST101,21-Mar-12,182
TNST101,21-Mar-13,101
TNST101,21-Mar-19,104
TNST101,21-Apr-12,101
TNST101,21-Apr-12,101
TNST101,21-Apr-13,211
TNST101,21-Apr-15,102
TNST101,21-Apr-15,102
TNST101,21-Apr-15,105
TNST101,21-May-14,189
TNST101,21-May-16,101
TNST101,21-Jun-12,101
TNST101,21-Jun-13,103
TNST101,21-Jun-13,184
TNST101,21-Jun-14,113
TNST101,21-Jun-15,412
TNST101,21-Jun-17,206
TNST101,21-Jun-18,101
TNST101,21-Jul-15,103
TNST101,21-Jul-18,125
TNST101,21-Aug-19,101
TNST101,21-Aug-19,106
TNST101,21-Sep-13,164
TNST101,21-Sep-14,159
